Execution time (s): 45.706626
Total clicks: 26

Mouse path (time_seconds, x, y):
5.973793, 431, 285
5.979367, 430, 285
5.985074, 429, 286
5.990897, 427, 286
5.996232, 426, 286
6.001895, 424, 286
6.007172, 423, 286
6.012699, 422, 286
6.018384, 421, 286
6.023851, 420, 286
6.029388, 419, 286
6.034977, 418, 286
6.040112, 418, 286
6.046045, 417, 286
6.051339, 417, 286
6.057194, 416, 286
6.062726, 415, 286
6.068289, 414, 286
6.074020, 413, 286
6.079492, 412, 286
6.085093, 411, 286
6.090478, 410, 286
6.096065, 409, 286
6.101694, 408, 286
6.107274, 407, 286
6.112800, 406, 286
6.118346, 405, 286
6.123783, 404, 286
6.129427, 403, 286
6.135029, 402, 286
6.140508, 401, 286
6.146059, 399, 286
6.151776, 398, 286
6.157215, 397, 286
6.162830, 396, 286
6.168364, 395, 286
6.173821, 394, 286
6.179040, 394, 286
6.185317, 393, 286
6.190668, 392, 286
6.196062, 391, 286
6.201693, 390, 286
6.207142, 390, 285
6.212822, 389, 285
6.218400, 388, 285
6.223813, 387, 285
6.229341, 386, 285
6.235038, 385, 285
6.240499, 384, 284
6.245680, 384, 284
6.251627, 383, 284
6.257149, 382, 284
6.262378, 382, 284
6.268421, 381, 284
6.273439, 381, 284
6.279425, 381, 283
6.284595, 381, 283
6.290111, 381, 283
6.295681, 381, 283
6.301198, 381, 283
6.306756, 381, 283
6.316975, 381, 283
6.317886, 381, 283
6.323448, 381, 283
6.329038, 381, 283
6.335077, 380, 283
6.340135, 380, 283
6.345706, 380, 283
6.351213, 380, 283
6.356782, 380, 283
6.362403, 380, 283
6.367891, 380, 283
6.373450, 380, 283
6.378995, 380, 283
6.384561, 380, 283
6.390113, 380, 283
6.395666, 380, 283
6.401216, 380, 283
6.406797, 380, 283
6.412356, 380, 283
6.417922, 380, 283
6.423441, 380, 283
6.429009, 380, 283
6.434638, 380, 283
6.440131, 380, 283
6.445699, 380, 283
6.451736, 380, 282
6.456771, 380, 282
6.462720, 381, 281
6.468355, 381, 280
6.473808, 382, 279
6.478990, 382, 279
6.485074, 383, 278
6.490115, 383, 278
6.496090, 383, 277
6.501920, 384, 276
6.507213, 385, 275
6.512714, 386, 274
6.518871, 388, 272
6.523828, 389, 271
6.529740, 391, 269
6.535103, 392, 268
6.540470, 393, 267
6.546079, 394, 266
6.551675, 395, 265
6.557265, 396, 264
6.562345, 396, 264
6.568325, 397, 263
6.573826, 397, 262
6.579039, 397, 262
6.585089, 398, 261
6.590487, 398, 260
6.595656, 398, 260
6.601691, 398, 259
6.607160, 399, 259
6.612380, 399, 259
6.618310, 399, 258
6.623445, 399, 258
6.629039, 399, 258
6.634673, 399, 258
6.640128, 399, 258
6.645698, 399, 258
6.651236, 399, 258
6.656797, 399, 258
6.662651, 399, 258
6.667950, 399, 258
6.673593, 399, 258
6.679006, 399, 258
6.684566, 399, 258
6.690113, 399, 258
6.695657, 399, 258
6.701225, 399, 258
6.706788, 399, 258
6.712394, 399, 258
6.717913, 399, 258
6.723460, 399, 258
6.729011, 399, 258
